Name,Score,Address,City,Zip
Jakes Place,97.33333333,8039 SE 17th Ave,Portland,97202
Bar Rione,100,804 NW 12th Avenue,Portland,97209
F&B Cafe,99.25,804 NW Couch St,Portland,97209
"Subway #39100,",100,804 SE Morrison St,Portland,97214
Ginos Restaurant,91.66666667,8051 SE 13th Ave,Portland,97202
Bertie Lous Cafe,91.4,8051 SE 17th Ave,Portland,97202
Tea Social,98.5,806 NW 23rd Ave,Portland,97210
Mingo Caffe,94.33333333,807 NW 21st Ave,Portland,97209
Kung Food Restaurant,79,8071 N Lombard Way,Portland,97203
Portofino Cafe Italiano,82.66666667,8075 SE 13th Ave,Portland,97202
Woodlawn Coffee and Pastry,92,808 NE Dekum St,Portland,97211
Joy Teriyaki,96,808 NW Eastman Pkwy,Gresham,97030
Grand Central Restaurant and Bowling Lounge,97.5,808 SE Morrison St,Portland,97214
"Subway, #26055",92,808 SW 3rd Ave,Portland,97204
Swank and Swine,81.75,808 SW Taylor St,Portland,97205
Giraffe,98.5,81 SE Yamhill Avenue,Portland,97214
Greenleaf Jucing Company,100,810 NW 12th Ave,Portland,97209
Old School Coffee,98.33333333,8101 SE Division St Ste 107,Portland,97215
Swift and Union,94,8103 N Denver Ave,Portland,97217
Riverside Golf Club,88.5,8105 NE 33rd Dr,Portland,97211
Muddy Rudder Public House,92.25,8105 SE 7th Ave,Portland,97202
Roscoes and Miyamoto Sushi,91.5,8105 SE Stark St,Portland,97215
Springwater Station,92.33333333,8106 SE 82nd Ave,Portland,97266
Bar Mingo,100,811 NW 21st Ave,Portland,97209
"Water Avenue Coffee,",95.75,811 SW 6th Ave,Portland,97204
Cameo Coffee Shop,95.33333333,8111 NE Sandy Blvd,Portland,97213
Popeyes Louisiana Kitchen #12282,95.25,8111 SE Foster Rd,Portland,97206
Bellagios Pizza,93.25,8112 SE 13th Ave,Portland,97202
Observatory,98.33333333,8115 SE Stark St,Portland,97215
The Big Legrowlski,100,812 NW Couch Street,Portland,97209
Flying Elephants,96.5,812 SW Park Ave,Portland,97205
Bar Espiritu,92.75,8128 SE 13th Ave,Portland,97202
Black Rock Coffee Bar,98.5,8128 SE Powell Blvd,Portland,97206
Bullard,83.5,813 SW Alder Avenue,Portland,97205
KFC/A and W 080021,98,8131 SE Powell Blvd,Portland,97206
Sellwood Public House,92,8132 SE 13th Ave,Portland,97202
Joy Teriyaki At Foster,90.5,8136 SE Foster Rd Ste 280,Portland,97206
Po Shines Cafe de la Soul,94,8139 N Denver Ave,Portland,97217
Marinas Kafe,100,814 NE 28th Ave,Portland,97232
Coco Two,96.33333333,814 SW 6th Ave,Portland,97204
Gyro House,96.25,8140 SE Cora St,Portland,97206
Blue Room Bar,100,8145 SE 82nd Ave,Portland,97266
"McDonalds, #12776",100,8149 SE Stark St,Portland,97215
Lloyd Athletic Club,95,815 NE Halsey St,Portland,97232
Bellagios Pizza,95,815 NE Weidler St,Portland,97232
Portland Roasting Coffee,100,815 SE Oak St,Portland,97214
Bernstein's Bagels,95,816 N Russell St,Portland,97227
"Taco Bell #33926,",100,8163 NE Air Cargo Rd,Portland,97218
Little Saigon Noodle & Grill,89,8165 SE Ash St,Portland,97215
Dutch Bros Coffee,95.66666667,8169 NE Air Cargo Rd,Portland,97218
Rendez Vous,100,817 SE 34th Ave,Portland,97214
Garden Bar,92,817 SW 9th Ave,Portland,97205
Columbia Gorge Dairy Queen,97.25,818 NW Graham Rd,Troutdale,97060
Whiskey Club (The),93.33333333,818 SW 1st Avenue,Portland,97204
Silsila The Flaming Tandor,97,819 N Killingsworth St,Portland,97217
Mi Burrito,98,819 N Lombard St,Portland,97217
Babushka's Cafe,97.25,819 NE 242nd Ave,Wood Village,97060
Subway,98.33333333,819 NE Hogan Dr,Gresham,97030
Troutdale Indoor Soccer Center,97,819 NW Corporate Dr,Troutdale,97060
Basilisk,97.5,820 NE 27th Ave,Portland,97232
Breakside Brewery,91,820 NE Dekum St,Portland,97211
Taqueria Portland,100,820 SE 8th Ave,Portland,97214
Virginia Cafe,89.25,820 SW 10th Ave,Portland,97205
Mekong Bistro,81.66666667,8200 NE Siskiyou St 107,Portland,97220
Villa Hermosa,86.33333333,8202 SE Flavel St,Portland,97266
McMenamins St Johns Pub,90,8203 N Ivanhoe St,Portland,97203
"Carls Jr, #7120",100,8205 SE Rhine St,Portland,97266
Posies Cafe,97.5,8208 N Denver Ave,Portland,97217
Push X Pull,100,821 SE Stark St,Portland,97214
East India Company,86.25,821 SW 11th Ave,Portland,97205
"Pizza Hut, #2870",99.25,8217 NE Sandy Blvd,Portland,97220
